id,created_at,updated_at,name,slug,description,price,image,categoryId,userId
cm82t51zo00031rfopszroobe,2025-03-10 08:35:45.876,2025-03-11 11:32:15.058,Cheeseburger,cheeseburger,"A cheeseburger is a classic comfort food featuring a juicy, seasoned beef patty topped with melted cheese, nestled between two soft, toasted buns. Often accompanied by crisp lettuce, ripe tomato slices, pickles, and a dollop of sauce, it''s a mouthwatering symphony of flavors and textures.",1.25,/uploads/products/big-cheese-burger.png,cm80e1fkh00081rhgnh4bex4t,cm7yv9q7h00001r54gdmztk4b
cm80jj089000e1rhg0ccjivtc,2025-03-08 18:31:08.266,2025-03-08 19:15:13.245,Latte S,latte-m,"Latte is a creamy espresso-based beverage made with steamed milk, offering a smooth and rich coffee experience.",1.5,/uploads/products/latte.png,cm80dr0za00001rhg2ihlzv2s,
cm80l32no000h1rhgcjfl7v8u,2025-03-08 19:14:44.148,2025-03-08 19:15:13.245,Fanta 0.5,fanta-0-5,"A fruity and vibrant soda, bursting with citrus flavors and bubbly refreshment.",1,/uploads/products/fanta.png,cm80e4uof000a1rhgt998b7qp,
cm80l22kp000g1rhg83hupxd6,2025-03-08 19:13:57.384,2025-03-08 19:15:13.245,Coca Cola 0.5,coke-0-5,": A classic carbonated soft drink with a signature cola flavor, offering a perfect balance of sweetness and fizz.",1,/uploads/products/cola.png,cm80e4uof000a1rhgt998b7qp,
cm80igun5000b1rhg9r9gxnt3,2025-03-08 18:01:28.097,2025-03-10 14:25:50.1,Americano,americano,"Americano coffee is a simple yet bold drink made by combining hot water with a shot of espresso. Known for its smooth and diluted flavor compared to straight espresso, it''s a popular choice for those who enjoy a milder caffeine kick without losing the rich aroma.",1.5,/uploads/products/americano.png,cm80dr0za00001rhg2ihlzv2s,cm7yv9q7h00001r54gdmztk4b
cm82syxl800011rfolpg8czwv,2025-03-10 08:31:00.237,2025-03-10 08:33:01.861,Rustic French Fries M,rustic-french-fires-m,"Fries coated with potato starch, carefully salted inside and out for a crispy and delicious experience with every bite. You will be charmed by their rustic texture and comforting flavor that satisfies even the most demanding palates. Who could resist?",1.75,/uploads/products/fries-country.png,cm82t15qm00021rfoircj02yy,
cm82swb8r00001rfovy3acci2,2025-03-10 08:28:57.964,2025-03-10 08:33:01.861,Fries L,fries-l,"Fries, also known as French fries, are crispy and golden strips of potato, usually deep-fried to perfection. They are loved worldwide as a versatile snack or side dish, often seasoned with salt and served with dips like ketchup or mayonnaise. Whether thin and crunchy or thick and soft, fries are a comfort food classic with endless variations.",2.25,/uploads/products/fries-potato.png,cm82t15qm00021rfoircj02yy,
cm80jk5qz000f1rhgjaubsols,2025-03-08 18:32:02.075,2025-03-09 07:53:37.462,Sprite 0.5,sprite-0-5,"Sprite is a lemon-lime flavored soda known for its crisp, refreshing taste and effervescence.",1,/uploads/products/sprite.png,cm80e4uof000a1rhgt998b7qp,
cm80iioi8000c1rhg75yeru4l,2025-03-08 18:02:53.457,2025-03-10 08:33:01.861,Fries M,fries-m,"Fries, also known as French fries, are crispy and golden strips of potato, usually deep-fried to perfection. They are loved worldwide as a versatile snack or side dish, often seasoned with salt and served with dips like ketchup or mayonnaise. Whether thin and crunchy or thick and soft, fries are a comfort food classic with endless variations.",1.5,/uploads/products/fries-potato.png,cm82t15qm00021rfoircj02yy,
cm80ji1vp000d1rhgosyt4uoj,2025-03-08 18:30:23.749,2025-03-11 09:05:23.725,Bacon burger,bacon-burger,"A bacon burger is a juicy burger patty topped with crispy strips of bacon, often paired with lettuce, tomato, and your favorite condiments for extra flavor.",2,/uploads/products/baconburger.png,cm80e1fkh00081rhgnh4bex4t,cm7yv9q7h00001r54gdmztk4b
cm82t6ns200041rfoa1kbpog9,2025-03-10 08:37:00.77,2025-03-11 09:05:25.684,Chickenburger,chickenburger,"A chicken burger features a tender, flavorful chicken patty, often grilled or crispy, nestled inside a fresh, toasted bun. With toppings like lettuce, tomato, pickles, and your choice of sauce, it''s a delicious twist on the classic burger.",1.25,/uploads/products/chicken-burger.png,cm80e1fkh00081rhgnh4bex4t,cm7yv9q7h00001r54gdmztk4b
